type,system_code,system_term,system_defenition,system_display
diagnosis-role,AD,Admission diagnosis,The diagnoses documented for administrative purposes as the basis for a hospital or other institutional admission,http://terminology.hl7.org/CodeSystem/diagnosis-role
diagnosis-role,DD,Discharge diagnosis,The diagnoses documented for administrative purposes at the time of hospital or other institutional discharge,http://terminology.hl7.org/CodeSystem/diagnosis-role
diagnosis-role,CC,Chief complaint,,http://terminology.hl7.org/CodeSystem/diagnosis-role
diagnosis-role,CM,Comorbidity diagnosis,,http://terminology.hl7.org/CodeSystem/diagnosis-role
diagnosis-role,pre-op,pre-op diagnosis,,http://terminology.hl7.org/CodeSystem/diagnosis-role
diagnosis-role,post-op,post-op diagnosis,,http://terminology.hl7.org/CodeSystem/diagnosis-role
diagnosis-role,billing,Billing,The diagnosis documented for billing purposes,http://terminology.hl7.org/CodeSystem/diagnosis-role
condition-clinical,active,Active,"The subject is currently experiencing the condition or situation, there is evidence of the condition or situation, or considered to be a significant risk.",http://terminology.hl7.org/CodeSystem/condition-clinical
condition-clinical,inactive,Inactive,The subject is no longer experiencing the condition or situation and there is no longer evidence or appreciable risk of the condition or situation.,http://terminology.hl7.org/CodeSystem/condition-clinical
condition-clinical,unknown,Unknown,"The authoring/source system does not know which of the status values currently applies for this condition. Note: This concept is not to be used for ""other"" - one of the listed statuses is presumed to apply, but the authoring/source system does not know which.",http://terminology.hl7.org/CodeSystem/condition-clinical
condition-category,problem-list-item,Problem List Item,"An item on a problem list that can be managed over time and can be expressed by a practitioner (e.g. physician, nurse), patient, or related person.",http://terminology.hl7.org/CodeSystem/condition-category
condition-category,encounter-diagnosis,Encounter Diagnosis,A point in time diagnosis (e.g. from a physician or nurse) in context of an encounter.,http://terminology.hl7.org/CodeSystem/condition-category
condition-ver-status,unconfirmed,Unconfirmed,There is not sufficient evidence to assert the presence of the subject's condition.,http://terminology.hl7.org/CodeSystem/condition-ver-status
condition-ver-status,confirmed,Confirmed,There is sufficient evidence to assert the presence of the subject's condition.,http://terminology.hl7.org/CodeSystem/condition-ver-status
condition-ver-status,refuted,Refuted,This condition has been ruled out by subsequent diagnostic and clinical evidence.,http://terminology.hl7.org/CodeSystem/condition-ver-status
condition-ver-status,entered-in-error,Entered in Error,The statement was entered in error and is not valid.,http://terminology.hl7.org/CodeSystem/condition-ver-status
service-category,1,Adoption,Adoption,http://terminology.hl7.org/CodeSystem/service-category
service-category,2,Aged Care,Aged Care,http://terminology.hl7.org/CodeSystem/service-category
service-category,34,Allied Health,Allied Health,http://terminology.hl7.org/CodeSystem/service-category
