LEVEL,CODE,DISPLAY,VERSION
Annex B1: Tabular List of ICD-10 codes that describe conditions which may causes of death (underlying cause),,,
,GROUP-1,Pregnancy with abortive outcome,
,O00,Ectopic pregnancy,ICD_MM
,O00.0,Abdominal pregnancy,ICD_MM
,O00.1,Tubal pregnancy,ICD_MM
,O00.2,Ovarian pregnancy,ICD_MM
,O00.8,Other ectopic pregnancy,ICD_MM
,O00.9,"Ectopic pregnancy, unspecified",ICD_MM
,O01,Hydatidiform mole,ICD_MM
,O01.0,Classical hydatidiform mole,ICD_MM
,O01.1,Incomplete and partial hydatidiform mole,ICD_MM
,O01.9,"Hydatidiform mole, unspecified",ICD_MM
,O02,Other abnormal products of conception,ICD_MM
,O02.0,Blighted ovum and nonhydatidiform mole,ICD_MM
,O02.1,Missed abortion,ICD_MM
,O02.8,Other specified abnormal products of conception,ICD_MM
,O02.9,"Abnormal product of conception, unspecified",ICD_MM
,O03,Spontaneous abortion,ICD_MM
,O04,Medical abortion,ICD_MM
,O05,Other abortion,ICD_MM
,O06,Unspecified abortion,ICD_MM
,O07,Failed attempted abortion,ICD_MM
,O07.0,"Failed medical abortion, complicated by genital tract and pelvic infection",ICD_MM
,O07.1,"Failed medical abortion, complicated by delayed or excessive haemorrhage",ICD_MM
,O07.2,"Failed medical abortion, complicated by embolism",ICD_MM
,O07.3,"Failed medical abortion, with other and unspecified complications",ICD_MM
,O07.4,"Failed medical abortion, without complication",ICD_MM
,O07.5,"Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection",ICD_MM
,O07.6,"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage",ICD_MM
,O07.7,"Other and unspecified failed attempted abortion, complicated by embolism",ICD_MM
,O07.8,"Other and unspecified failed attempted abortion, with other and unspecified complications",ICD_MM
,O07.9,"Other and unspecified failed attempted abortion, without complication",ICD_MM
,GROUP-2,"Hypertensive disorders in pregnancy, childbirth, and the puerperium",
,O11,Pre-existing hypertensive disorder with superimposed proteinuria,ICD_MM
,O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension,ICD_MM
,O12.0,Gestational oedema,ICD_MM
,O12.1,Gestational proteinuria,ICD_MM
,O12.2,Gestational oedema with proteinuria,ICD_MM
,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,ICD_MM
,O14,Gestational [pregnancy-induced] hypertension with significant proteinuria,ICD_MM
,O14.0,Moderate pre-eclampsia,ICD_MM
,O14.1,Severe pre-eclampsia,ICD_MM
,O14.2,HELLP syndrome,ICD_MM
