CODE,DISPLAY,VERSION
8000/0,"Neoplasm, benign",ICDO3_2nd
8000/0,"Tumor, benign",ICDO3_2nd
8000/0,"Unclassified tumor, benign",ICDO3_2nd
8000/1,"Neoplasm, uncertain whether benign or malignant",ICDO3_2nd
8000/1,"Neoplasm, NOS",ICDO3_2nd
8000/1,"Tumor, NOS",ICDO3_2nd
8000/1,"Unclassified tumor, borderline malignancy",ICDO3_2nd
8000/1,"Unclassified tumor, uncertain whether benign or malignant",ICDO3_2nd
8000/3,"Neoplasm, malignant",ICDO3_2nd
8000/3,"Blastoma, NOS",ICDO3_2nd
8000/3,"Tumor, malignant, NOS",ICDO3_2nd
8000/3,Cancer,ICDO3_2nd
8000/3,Malignancy,ICDO3_2nd
8000/3,"Unclassified tumor, malignant",ICDO3_2nd
8000/6,"Neoplasm, metastatic",ICDO3_2nd
8000/6,"Neoplasm, secondary",ICDO3_2nd
8000/6,"Tumor embolus",ICDO3_2nd
8000/6,"Tumor, metastatic",ICDO3_2nd
8000/6,"Tumor, secondary",ICDO3_2nd
8000/9,"Neoplasm, malignant, uncertain whether primary or metastatic",ICDO3_2nd
8000/9,"Unclassified tumor, malignant, uncertain whether primary or metastatic",ICDO3_2nd
8001/0,"Tumor cells, benign",ICDO3_2nd
8001/1,"Tumor cells, uncertain whether benign or malignant",ICDO3_2nd
8001/1,"Tumor cells, NOS",ICDO3_2nd
8001/3,"Tumor cells, malignant",ICDO3_2nd
8002/3,"Malignant tumor, small cell type",ICDO3_2nd
8003/3,"Malignant tumor, giant cell type",ICDO3_2nd
8004/3,"Malignant tumor, spindle cell type",ICDO3_2nd
8004/3,"Malignant tumor, fusiform cell type",ICDO3_2nd
8005/0,"Clear cell tumor, NOS",ICDO3_2nd
8005/3,"Malignant tumor, clear cell type",ICDO3_2nd
8010/0,"Epithelial tumor, benign",ICDO3_2nd
8010/2,"Carcinoma in situ, NOS",ICDO3_2nd
8010/2,"Intraepithelial carcinoma, NOS",ICDO3_2nd
8010/3,"Carcinoma, NOS",ICDO3_2nd
8010/3,"Epithelial tumor, malignant",ICDO3_2nd
8010/3,"Heterotopia-associated carcinoma",ICDO3_2nd
8010/6,"Carcinoma, metastatic, NOS",ICDO3_2nd
8010/6,"Secondary carcinoma",ICDO3_2nd
8010/9,Carcinomatosis,ICDO3_2nd
8011/0,"Epithelioma, benign",ICDO3_2nd
8011/3,"Epithelioma, malignant",ICDO3_2nd
8011/3,"Epithelioma, NOS",ICDO3_2nd
8012/3,"Large cell carcinoma, NOS",ICDO3_2nd
8013/3,"Large cell neuroendocrine carcinoma",ICDO3_2nd
8013/3,"Combined large cell neuroendocrine carcinoma",ICDO3_2nd
8014/3,"Large cell carcinoma with rhabdoid phenotype",ICDO3_2nd
8015/3,"Glassy cell carcinoma",ICDO3_2nd
8020/3,"Carcinoma, undifferentiated, NOS",ICDO3_2nd
8020/3,"Carcinoma, poorly differentiated, NOS",ICDO3_2nd
8020/3,"Anaplastic undifferentiated carcinoma",ICDO3_2nd
8020/3,"Dedifferentiated carcinoma",ICDO3_2nd
8021/3,"Carcinoma, anaplastic, NOS",ICDO3_2nd
8022/3,"Pleomorphic carcinoma",ICDO3_2nd
8023/3,"Nuclear protein in testis (NUT)-associated carcinoma",ICDO3_2nd
8023/3,"NUT carcinoma",ICDO3_2nd
8023/3,"NUT midline carcinoma",ICDO3_2nd
8030/3,"Giant cell and spindle cell carcinoma",ICDO3_2nd
8031/3,"Giant cell carcinoma",ICDO3_2nd
8032/3,"Spindle cell carcinoma, NOS",ICDO3_2nd
8033/3,"Pseudosarcomatous carcinoma",ICDO3_2nd
8033/3,"Sarcomatoid carcinoma",ICDO3_2nd
8034/3,"Polygonal cell carcinoma",ICDO3_2nd
8035/3,"Carcinoma with osteoclast-like giant cells",ICDO3_2nd
8035/3,"Squamous carcinoma with osteoclast-like giant cells",ICDO3_2nd
8035/3,"Undifferentiated carcinoma with osteoclast-like giant cells",ICDO3_2nd
8040/0,"Tumorlet, benign",ICDO3_2nd
8040/0,"Diffuse idiopathic neuroendocrine cell hyperplasia",ICDO3_2nd
8040/1,"Tumorlet, NOS",ICDO3_2nd
8041/3,"Small cell carcinoma, NOS",ICDO3_2nd
8041/3,"Reserve cell carcinoma",ICDO3_2nd
8041/3,"Round cell carcinoma",ICDO3_2nd
8041/3,"Small cell neuroendocrine carcinoma",ICDO3_2nd
8041/3,"Small cell carcinoma, pulmonary type",ICDO3_2nd
8042/3,"Oat cell carcinoma",ICDO3_2nd
8043/3,"Small cell carcinoma, fusiform cell",ICDO3_2nd
8044/3,"Small cell carcinoma, intermediate cell",ICDO3_2nd
8044/3,"Small cell carcinoma, hypercalcemic type",ICDO3_2nd
8045/3,"Combined small cell carcinoma",ICDO3_2nd
8045/3,"Mixed small cell carcinoma",ICDO3_2nd
8045/3,"Combined small cell-adenocarcinoma",ICDO3_2nd
8045/3,"Combined small cell-large cell carcinoma",ICDO3_2nd
8045/3,"Combined small cell-squamous cell carcinoma",ICDO3_2nd
8046/3,"Non-small cell carcinoma",ICDO3_2nd
8050/0,"Papilloma, NOS",ICDO3_2nd
8050/2,"Papillary carcinoma in situ, NOS",ICDO3_2nd
8050/3,"Papillary carcinoma, NOS",ICDO3_2nd
8051/0,"Verrucous papilloma",ICDO3_2nd
8051/3,"Verrucous carcinoma, NOS",ICDO3_2nd
8051/3,"Verrucous epidermoid carcinoma",ICDO3_2nd
8051/3,"Verrucous squamous cell carcinoma",ICDO3_2nd
8052/0,"Squamous cell papilloma, NOS",ICDO3_2nd
8052/0,"Keratotic papilloma",ICDO3_2nd
8052/0,"Squamous papilloma",ICDO3_2nd
8052/0,"Benign keratosis, NOS",ICDO3_2nd
8052/0,"Seborrhoeic keratosis",ICDO3_2nd
8052/0,"Solar lentigo",ICDO3_2nd
8052/0,"Lichen planus-like keratosis",ICDO3_2nd
8052/2,"Papillary squamous cell carcinoma, non-invasive",ICDO3_2nd
8052/2,"Papillary squamous cell carcinoma in situ",ICDO3_2nd
8052/3,"Papillary squamous cell carcinoma",ICDO3_2nd
8052/3,"Papillary epidermoid carcinoma",ICDO3_2nd
8053/0,"Squamous cell papilloma, inverted",ICDO3_2nd
8054/0,"Warty dyskeratoma",ICDO3_2nd
8054/3,"Warty carcinoma",ICDO3_2nd
8054/3,"Condylomatous carcinoma",ICDO3_2nd
8054/3,"Warty-basaloid carcinoma",ICDO3_2nd
8060/0,"Squamous papillomatosis",ICDO3_2nd
8060/0,"Papillomatosis, NOS",ICDO3_2nd
8070/0,"Actinic keratosis",ICDO3_2nd
8070/0,"Arsenical keratosis",ICDO3_2nd
8070/0,"PUVA keratosis",ICDO3_2nd
8070/2,"Squamous cell carcinoma in situ, NOS",ICDO3_2nd
8070/2,"Epidermoid carcinoma in situ, NOS",ICDO3_2nd
8070/2,"Intraepidermal carcinoma, NOS",ICDO3_2nd
8070/2,"Intraepithelial squamous cell carcinoma",ICDO3_2nd
8070/3,"Squamous cell carcinoma, NOS",ICDO3_2nd
8070/3,"Squamous cell carcinoma, usual type",ICDO3_2nd
8070/3,"Epidermoid carcinoma, NOS",ICDO3_2nd
8070/3,"Squamous carcinoma",ICDO3_2nd
8070/3,"Squamous cell epithelioma",ICDO3_2nd
8070/6,"Squamous cell carcinoma, metastatic, NOS",ICDO3_2nd
8071/2,"Differentiated intraepithelial neoplasia",ICDO3_2nd
8071/2,"Differentiated penile intraepithelial neoplasia (PeIN)",ICDO3_2nd
8071/2,"Differentiated vulvar intraepithelial neoplasia (VIN)",ICDO3_2nd
8071/3,"Squamous cell carcinoma, keratinizing, NOS",ICDO3_2nd
8071/3,"Epidermoid carcinoma, keratinizing",ICDO3_2nd
8071/3,"Squamous cell carcinoma, large cell, keratinizing",ICDO3_2nd
8071/3,Keratoacanthoma,ICDO3_2nd
8072/0,"Large cell acanthoma",ICDO3_2nd
8072/3,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS",ICDO3_2nd
8072/3,"Epidermoid carcinoma, large cell, nonkeratinizing",ICDO3_2nd
8072/3,"Squamous cell carcinoma, nonkeratinizing, NOS",ICDO3_2nd
8073/3,"Squamous cell carcinoma, small cell, nonkeratinizing",ICDO3_2nd
8073/3,"Epidermoid carcinoma, small cell, nonkeratinizing",ICDO3_2nd
8074/3,"Squamous cell carcinoma, spindle cell",ICDO3_2nd
8074/3,"Epidermoid carcinoma, spindle cell",ICDO3_2nd
8074/3,"Squamous cell carcinoma, sarcomatoid",ICDO3_2nd
8074/3,"Pseudovascular squamous cell carcinoma",ICDO3_2nd
8075/3,"Squamous cell carcinoma, adenoid",ICDO3_2nd
8075/3,"Squamous cell carcinoma, acantholytic",ICDO3_2nd
8075/3,"Squamous cell carcinoma, pseudoglandular",ICDO3_2nd
8076/2,"Squamous cell carcinoma in situ with questionable stromal invasion",ICDO3_2nd
8076/2,"Epidermoid carcinoma in situ with questionable stromal invasion",ICDO3_2nd
8076/3,"Squamous cell carcinoma, microinvasive",ICDO3_2nd
8077/0,"Squamous intraepithelial neoplasia, low grade",ICDO3_2nd
8077/0,"Squamous intraepithelial neoplasia, grade I",ICDO3_2nd
8077/0,"Low grade squamous intraepithelial lesion",ICDO3_2nd
8077/0,"Anal intraepithelial neoplasia, low grade",ICDO3_2nd
8077/0,"Cervical intraepithelial neoplasia, low grade",ICDO3_2nd
8077/0,"Esophageal squamous intraepithelial neoplasia (dysplasia), low grade",ICDO3_2nd
8077/2,"Squamous intraepithelial neoplasia, high grade",ICDO3_2nd
8077/2,"Squamous intraepithelial neoplasia, grade II",ICDO3_2nd
8077/2,"Squamous intraepithelial neoplasia, grade III",ICDO3_2nd
8077/2,"Squamous dysplasia, high grade",ICDO3_2nd
8077/2,"High grade squamous intraepithelial lesion",ICDO3_2nd
8077/2,"Anal intraepithelial neoplasia, grade III",ICDO3_2nd
8077/2,"AIN III",ICDO3_2nd
8077/2,"Cervical intraepithelial neoplasia, grade III",ICDO3_2nd
8077/2,"CIN III, NOS",ICDO3_2nd
8077/2,"CIN III with severe dysplasia",ICDO3_2nd
8077/2,"Esophageal squamous intraepithelial neoplasia (dysplasia), high grade",ICDO3_2nd
8077/2,"Vaginal intraepithelial neoplasia, grade III",ICDO3_2nd
8077/2,"VAIN III",ICDO3_2nd
8077/2,"Vulvar intraepithelial neoplasia, grade III",ICDO3_2nd
8077/2,"VIN III",ICDO3_2nd
8078/3,"Squamous cell carcinoma with horn formation",ICDO3_2nd
8080/2,"Queyrat erythroplasia",ICDO3_2nd
8081/2,"Bowen disease",ICDO3_2nd
8081/2,"Intraepidermal squamous cell carcinoma, Bowen type",ICDO3_2nd
8082/3,"Lymphoepithelial carcinoma",ICDO3_2nd
8082/3,Lymphoepithelioma,ICDO3_2nd
8082/3,"Lymphoepithelioma-like carcinoma",ICDO3_2nd
8082/3,"Schmincke tumor",ICDO3_2nd
8083/3,"Basaloid squamous cell carcinoma",ICDO3_2nd
8083/3,"Papillary-basaloid carcinoma",ICDO3_2nd
8084/0,"Clear cell acanthoma",ICDO3_2nd
