CODE,DISPLAY,VERSION
C00,LIP,ICDO3_Topography
C00.0,External upper lip,ICDO3_Topography
C00.0,Vermilion border of upper lip,ICDO3_Topography
"C00.0,""Upper lip, NOS"",ICDO3_Topography"
C00.1,External lower lip,ICDO3_Topography
C00.1,Vermilion border of lower lip,ICDO3_Topography
"C00.1,""Lower lip, NOS"",ICDO3_Topography"
"C00.2,""External lip, NOS"",ICDO3_Topography"
"C00.2,""Vermilion border of lip, NOS"",ICDO3_Topography"
C00.3,Mucosa of upper lip,ICDO3_Topography
C00.3,Frenulum of upper lip,ICDO3_Topography
C00.3,Inner aspect of upper lip,ICDO3_Topography
C00.4,Mucosa of lower lip,ICDO3_Topography
C00.4,Inner aspect of lower lip,ICDO3_Topography
C00.4,Frenulum of lower lip,ICDO3_Topography
"C00.5,""Mucosa of lip, NOS"",ICDO3_Topography"
"C00.5,""Inner aspect of lip, NOS"",ICDO3_Topography"
"C00.5,""Internal lip, NOS"",ICDO3_Topography"
"C00.5,""Frenulum of lip, NOS"",ICDO3_Topography"
"C00.5,""Frenulum labii, NOS"",ICDO3_Topography"
C00.6,Commissure of lip,ICDO3_Topography
C00.6,Labial commissure,ICDO3_Topography
C00.8,Overlapping lesion of lip,ICDO3_Topography
"C00.9,""Lip, NOS"",ICDO3_Topography"
C01,BASE OF TONGUE,ICDO3_Topography
"C01.9,""Base of tongue, NOS"",ICDO3_Topography"
C01.9,Dorsal surface of base of tongue,ICDO3_Topography
C01.9,Posterior third of tongue,ICDO3_Topography
"C01.9,""Posterior tongue, NOS"",ICDO3_Topography"
C01.9,Root of tongue,ICDO3_Topography
C02,OTHER AND UNSPECIFIED PARTS OF TONGUE,ICDO3_Topography
"C02.0,""Dorsal surface of tongue, NOS"",ICDO3_Topography"
"C02.0,""Anterior 2/3 of tongue, dorsal surface"",ICDO3_Topography"
C02.0,Midline of tongue,ICDO3_Topography
C02.0,Dorsal surface of anterior tongue,ICDO3_Topography
C02.1,Border of tongue,ICDO3_Topography
C02.1,Tip of tongue,ICDO3_Topography
"C02.2,""Ventral surface of tongue, NOS"",ICDO3_Topography"
"C02.2,""Anterior 2/3 of tongue, ventral surface"",ICDO3_Topography"
C02.2,Frenulum linguae,ICDO3_Topography
"C02.2,""Ventral surface of anterior tongue, NOS"",ICDO3_Topography"
"C02.3,""Anterior 2/3 of tongue, NOS"",ICDO3_Topography"
"C02.3,""Anterior tongue, NOS"",ICDO3_Topography"
C02.4,Lingual tonsil,ICDO3_Topography
C02.8,Overlapping lesion of tongue,ICDO3_Topography
C02.8,Junctional zone of tongue,ICDO3_Topography
"C02.9,""Tongue, NOS"",ICDO3_Topography"
"C02.9,""Lingual, NOS"",ICDO3_Topography"
C03,GUM,ICDO3_Topography
C03.0,Upper gum,ICDO3_Topography
C03.0,Maxillary gingiva,ICDO3_Topography
C03.0,Upper alveolar mucosa,ICDO3_Topography
C03.0,Upper alveolar ridge mucosa,ICDO3_Topography
C03.0,Upper alveolus,ICDO3_Topography
C03.0,Upper gingiva,ICDO3_Topography
C03.1,Lower gum,ICDO3_Topography
C03.1,Mandibular gingiva,ICDO3_Topography
C03.1,Lower alveolar mucosa,ICDO3_Topography
C03.1,Lower alveolar ridge mucosa,ICDO3_Topography
C03.1,Lower alveolus,ICDO3_Topography
C03.1,Lower gingiva,ICDO3_Topography
"C03.9,""Gum, NOS"",ICDO3_Topography"
"C03.9,""Gingiva, NOS"",ICDO3_Topography"
"C03.9,""Alveolar mucosa, NOS"",ICDO3_Topography"
"C03.9,""Alveolar ridge mucosa, NOS"",ICDO3_Topography"
"C03.9,""Alveolus, NOS"",ICDO3_Topography"
