CODE,DISPLAY,VERSION
A,ANTEPARTUM DEATH,
A1,"Congenital malformations, deformations and chromosomal abnormalities",
Q00,Anencephaly and similar malformations,ICD_PM
Q01,Encephalocele,ICD_PM
Q02,Microcephaly,ICD_PM
Q03,Congenital hydrocephalus,ICD_PM
Q04,Other congenital malformations of brain,ICD_PM
Q05,Spina bifida,ICD_PM
Q06,Other congenital malformations of spinal cord,ICD_PM
Q07,Other congenital malformations of nervous system,ICD_PM
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",ICD_PM
Q11,"Anophthalmos, microphthalmos and macrophthalmos",ICD_PM
Q12,Congenital lens malformations,ICD_PM
Q13,Congenital malformations of anterior segment of eye,ICD_PM
Q14,Congenital malformations of posterior segment of eye,ICD_PM
Q15,Other congenital malformations of eye,ICD_PM
Q16,Congenital malformations of ear causing impairment of hearing,ICD_PM
Q17,Other congenital malformations of ear,ICD_PM
Q18,Other congenital malformations of face and neck,ICD_PM
Q20,Congenital malformations of cardiac chambers and connections,ICD_PM
Q21,Congenital malformations of cardiac septa,ICD_PM
Q22,Congenital malformations of pulmonary and tricuspid valves,ICD_PM
Q23,Congenital malformations of aortic and mitral valves,ICD_PM
Q24,Other congenital malformations of heart,ICD_PM
Q25,Congenital malformations of great arteries,ICD_PM
Q26,Congenital malformations of great veins,ICD_PM
Q27,Other congenital malformations of peripheral vascular system,ICD_PM
Q28,Other congenital malformations of circulatory system,ICD_PM
Q30,Congenital malformations of nose,ICD_PM
Q31,Congenital malformations of larynx,ICD_PM
Q32,Congenital malformations of trachea and bronchus,ICD_PM
Q33,Congenital malformations of lung,ICD_PM
Q34,Other congenital malformations of respiratory system,ICD_PM
Q36,Cleft lip,ICD_PM
Q37,Cleft palate with cleft lip,ICD_PM
Q38,"Other congenital malformations of tongue, mouth and pharynx",ICD_PM
Q39,Congenital malformations of oesophagus,ICD_PM
Q40,Other congenital malformations of upper alimentary tract,ICD_PM
Q41,"Congenital absence, atresia and stenosis of small intestine",ICD_PM
Q42,"Congenital absence, atresia and stenosis of large intestine",ICD_PM
Q43,Other congenital malformations of intestine,ICD_PM
Q44,"Congenital malformations of gallbladder, bile ducts and liver",ICD_PM
Q45,Other congenital malformations of digestive system,ICD_PM
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligame",ICD_PM
Q51,Congenital malformations of uterus and cervix,ICD_PM
Q52,Other congenital malformations of female genitalia,ICD_PM
Q53,Undescended testicle,ICD_PM
Q54,Hypospadias,ICD_PM
Q55,Other congenital malformations of male genital organs,ICD_PM
Q56,Indeterminate sex and pseudohermaphroditism,ICD_PM
Q60,Renal agenesis and other reduction defects of kidney,ICD_PM
Q61,Cystic kidney disease,ICD_PM
